crohn_rank,rank,target_id,target_name,combined_score,kg_score,fusion_score,gnn_score,num_diseases,score_ulcerative_colitis,score_crohn,score_inflammatory_bowel,kg_score_norm,fusion_score_norm,gnn_score_norm,combined_score_norm
19,48,esr1,esr1,0.7693928453913028,-17.318072742886013,-0.021695191661516827,0.5338309009869894,3,-14.083122849464417,-22.25336980819702,-15.617725570996603,0.8670098935945133,0.4895565598370242,0.9190730666746343,0.7693928453913028
20,473,cdh1,cdh1,0.6421125957537543,-16.529042190975613,-0.15193664655089378,0.41402027507623035,3,-12.264589428901672,-22.42507521311442,-14.897461930910746,0.884152772411984,0.22086492218640333,0.7406400337767991,0.6421125957537543
21,125,vim,vim,0.7155982534798839,-17.32278464900123,-0.04728112478430072,0.44896217187245685,3,-15.270736535390219,-22.438265800476074,-14.25935161113739,0.8669075203272971,0.4367720890445315,0.7926787287853522,0.7155982534798839
22,52,cxcr4,cxcr4,0.767984421640652,-16.45044278436237,-0.029150498410065968,0.5241294205188751,3,-13.295521895090738,-22.493182977040608,-13.562623480955759,0.8858604630703919,0.4741760607389694,0.9046247273026814,0.767984421640652
23,54,cdkn2a,cdkn2a,0.7637208155433006,-16.60477782620324,-0.014080699533224106,0.49671335021654767,3,-13.089841524759928,-22.56571873029073,-14.158773223559061,0.8825073015062911,0.5052654626711217,0.8637941871314924,0.7637208155433006
24,197,pon1,pon1,0.6907671373842638,-18.597907794846428,-0.048186556746562324,0.41944222648938495,3,-15.057734370231628,-22.83314887682597,-17.90284013748169,0.8392035467439541,0.43490415846184627,0.7487149038270939,0.6907671373842638
25,267,ar,ar,0.6740117791303264,-17.49236391650306,-0.1221223237613837,0.46285489201545715,3,-14.28185749053955,-23.08293581008911,-15.112298448880514,0.8632231549681856,0.28237267501795654,0.8133690487922172,0.6740117791303264
26,444,ccnd1,ccnd1,0.6458392592757172,-17.195488227738274,-0.14541934927304587,0.42629651725292206,3,-13.29141648610433,-23.105258504549663,-15.189789692560831,0.8696732270775933,0.23431028242234556,0.7589229457265873,0.6458392592757172
27,194,abcb1,abcb1,0.6911265210314546,-16.736729802356827,-0.11073784219721954,0.47069279352823895,3,-13.588528101642927,-23.14496612548828,-13.47669517993927,0.879640445804126,0.30585916783913025,0.8250419745268837,0.6911265210314546
28,17,egfr,egfr,0.812455960066719,-15.700197360581821,-0.0036258970697720847,0.5737146536509196,3,-10.953045969208082,-23.15773304303487,-12.989813069502512,0.9021606764804964,0.526834002408371,0.9784716291733643,0.812455960066719
29,124,myc,myc,0.7158096214519141,-15.788689215977987,-0.10771038134892781,0.5033041139443716,3,-12.392637689908346,-23.633169134457905,-11.340260823567709,0.9002380574517189,0.31210490130349894,0.8736097602672558,0.7158096214519141
30,702,igf1,igf1,0.6194219465545349,-16.622583667437237,-0.2071027010679245,0.441471795241038,3,-11.39823297659556,-23.78541413942973,-14.684103886286417,0.8821204427493285,0.10705586236367398,0.7815233691523374,0.6194219465545349
31,115,il1b,il1b,0.7213240129946358,-14.953670481840769,-0.12027673919995625,0.5168116390705109,3,-11.651986002922058,-23.881643335024517,-9.327382107575735,0.9183800988910188,0.2861801657946363,0.8937264123327912,0.7213240129946358
32,319,egf,egf,0.6644092581798562,-17.187372465928394,-0.1534869223833084,0.47887754440307617,3,-13.374597946802774,-23.974528868993122,-14.212990581989288,0.8698495542437358,0.21766666129032022,0.837231460317553,0.6644092581798562
33,15,ccl2,ccl2,0.8207291220640116,-15.560151868396336,0.001164342276751995,0.5828719437122345,3,-11.253719886144003,-24.000227292378742,-11.42650842666626,0.9052033760257242,0.5367163955054782,0.992109510006928,0.8207291220640116
34,40,akt1,akt1,0.7787710572532283,-16.030849523014492,-0.026899935056765873,0.5369928578535715,3,-11.684354623158773,-24.069880723953247,-12.338313221931458,0.8949767595363505,0.47881903369676,0.9237821444322001,0.7787710572532283
35,38,gfap,gfap,0.7806057096723411,-17.802429914474487,0.046562728782494865,0.4737953146298726,3,-14.235513865947723,-24.376265426476795,-14.795510450998941,0.8564865034966138,0.6303744925167918,0.8296625350621933,0.7806057096723411
36,29,cyp3a4,cyp3a4,0.7968328382029539,-16.431268407238854,0.02047693960291023,0.5195790628592173,3,-11.228422264258066,-24.409136692682903,-13.656246264775595,0.8862770553336865,0.5765588051841781,0.8978479150474193,0.7968328382029539
37,9,hgf,hgf,0.833696986517888,-16.441829204559326,0.041638036568959556,0.5729806125164032,3,-11.617183128992716,-24.477273384730022,-13.23103109995524,0.8860476060832838,0.6202147195251282,0.9773784274234537,0.833696986517888
38,46,cxcl10,cxcl10,0.7736626685108703,-17.174762551983196,-0.008474212139844894,0.5222858190536499,3,-13.651038229465485,-24.611414353052776,-13.261835073431333,0.8701235236434477,0.5168317975256742,0.9018790659859627,0.7736626685108703
39,243,lep,lep,0.6797233992683172,-18.131119158532883,-0.14142362276713052,0.5148001909255981,3,-13.12275755405426,-24.70751102765401,-16.56308889389038,0.8493452339147751,0.24255357407929368,0.8907307782620633,0.6797233992683172
40,72,hif1a,hif1a,0.7470266224668142,-16.76170041826036,-0.03439964695523182,0.4905473788579305,3,-10.924297173817953,-24.725804924964905,-14.63499915599823,0.8790979215109976,0.46334692557559204,0.8546112539657916,0.7470266224668142
