inflammatory bowel_rank,rank,target_id,target_name,combined_score,kg_score,fusion_score,gnn_score,num_diseases,score_ulcerative_colitis,score_crohn,score_inflammatory_bowel,kg_score_norm,fusion_score_norm,gnn_score_norm,combined_score_norm
2122,3117,fcgrt,fcgrt,0.4953644379695095,-30.78227412700653,-0.06707459564010303,0.2452582667271296,3,-20.766733129819233,-46.55441347757975,-25.025675773620605,0.5744798107692674,0.3959376242917184,0.4893040879142902,0.4953644379695095
2123,1913,psma1,psma1,0.5480693084086211,-31.85537886619568,0.0053854746123154955,0.2837209974726041,3,-22.347939332326252,-48.19063584009806,-25.02756142616272,0.5511649917703929,0.5454247054744192,0.5465863335271272,0.5480693084086211
2124,3604,nuak2,nuak2,0.471163770093305,-39.3024230533176,-0.019674742594361305,0.291160191098849,3,-29.43683632214864,-63.4412252108256,-25.029207626978557,0.3893667245941968,0.49372480080995235,0.557665466708802,0.471163770093305
2125,3753,ca10,ca10,0.46250979011563353,-38.01440135637919,-0.007156167800227801,0.2293959235151609,3,-28.629082441329956,-60.3836285273234,-25.03049310048421,0.4173509386546372,0.5195509585824103,0.4656804235968518,0.46250979011563353
2126,1801,hsd11b1,hsd11b1,0.5530908195241545,-27.99821941057841,-0.06487963100274403,0.31726738313833874,3,-16.833757321039837,-42.12982622782389,-25.031074682871502,0.6349675986114226,0.4004658955974876,0.5965467046677972,0.5530908195241545
2127,2569,ndufs5,ndufs5,0.5216976988383557,-30.459766891267563,-0.027563129862149555,0.24319131672382355,3,-23.93681526184082,-42.411407152811684,-25.03107825915019,0.581486766896181,0.477450844908549,0.48622579535772853,0.5216976988383557
2128,2944,atg16l1,atg16l1,0.5039575575894476,-33.02581028557486,-0.051152454068263374,0.28607510526974994,3,-22.88580097009738,-51.15231577555338,-25.03931411107381,0.5257356038487246,0.428785432214905,0.5500922879516208,0.5039575575894476
2129,307,adra2c,adra2c,0.6673025716858823,-28.760246475537617,0.10620743036270142,0.3507218857606252,3,-18.714457472165424,-42.521623611450195,-25.044658342997234,0.6184114112767248,0.7534231221438202,0.6463702351068207,0.6673025716858823
2130,3277,ssrp1,ssrp1,0.48774768791145406,-31.68976926803589,-0.05830909187595049,0.23372009893258414,3,-23.940584182739258,-46.082708994547524,-25.04601462682088,0.5547631100756847,0.41402109520520963,0.4721203843987243,0.48774768791145406
2131,1509,prpf8,prpf8,0.5682161946227606,-29.183084150155384,-0.0006330137451489767,0.28517118096351624,3,-17.721910039583843,-44.77685260772705,-25.050489803155262,0.6092246250390019,0.5330084015078992,0.5487460805159674,0.5682161946227606
2132,1189,f7,f7,0.5854470146762387,-33.64247875743442,0.038967025155822434,0.3556226889292399,3,-22.810477177302044,-53.0621542930603,-25.054804801940918,0.512337551190247,0.6147043508687824,0.6536689631316838,0.5854470146762387
2133,1594,foxc2,foxc2,0.5637686022984855,-33.33183604478836,0.0027808894713719687,0.3511861463387807,3,-27.32764156659444,-47.609716733296715,-25.058149834473927,0.5190867326579711,0.5400513760109623,0.6470616547733609,0.5637686022984855
2134,2892,ppard,ppard,0.5063339072036411,-35.083344923125374,-0.054610975086688995,0.33620646595954895,3,-21.485187967618305,-58.70637845993042,-25.058468341827393,0.4810325605142478,0.4216504099819365,0.624752533344537,0.5063339072036411
