inflammatory bowel_rank,rank,target_id,target_name,combined_score,kg_score,fusion_score,gnn_score,num_diseases,score_ulcerative_colitis,score_crohn,score_inflammatory_bowel,kg_score_norm,fusion_score_norm,gnn_score_norm,combined_score_norm
11,64,tp53,tp53,0.7546518128944899,-14.081599007050196,-0.07385650680710872,0.5101398229598999,3,-12.065609534581503,-19.73763382434845,-10.441553662220636,0.9373271670068366,0.38194635845848934,0.883790128514028,0.7546518128944899
12,16,il4,il4,0.8181815296551773,-15.072208056847254,0.0036531975492835045,0.5642311175664266,3,-9.318954090277353,-25.273297627766926,-10.624372452497482,0.9158046912864172,0.5418509711259661,0.9643478726760687,0.8181815296551773
13,14,vegfa,vegfa,0.8259466849099595,-12.735465983549753,-0.017742283642292023,0.5657962759335836,3,-10.04344266653061,-17.473371247450512,-10.689584036668142,0.9665739372848575,0.49771151579993095,0.9666788508534572,0.8259466849099595
14,87,ace,ace,0.7345906907409548,-16.189758208062912,-0.069263756275177,0.49988341331481934,3,-12.576340675354004,-25.289307554562885,-10.70362639427185,0.8915242286752412,0.39142132679935776,0.868515337436837,0.7345906907409548
15,1391,met,met,0.5746857886356889,-26.541878167539835,-0.05500104806075493,0.3235892901817958,3,-19.873650511105854,-48.8036359945933,-10.948347996920347,0.6666088086835136,0.420845678905383,0.6059618716355621,0.5746857886356889
16,62,cd4,cd4,0.7565836561942141,-14.119799968269136,-0.07505158583323161,0.5168622036774954,3,-10.353542943795523,-20.92029897371928,-11.085557987292608,0.9364971935066957,0.37948087816326675,0.8938017178085196,0.7565836561942141
17,277,ptprc,ptprc,0.6727178024357992,-18.581831766499413,-0.05801697913557291,0.3923490047454834,3,-14.829699953397116,-29.67327888806661,-11.242516458034515,0.8395528227069088,0.4146237316749675,0.7083651795018178,0.6727178024357992
18,34,cd8a,cd8a,0.7856122596591002,-13.739499485327137,-0.03338452739020189,0.5167178014914194,3,-9.999802199502787,-19.88383412361145,-11.334862132867178,0.9447597950973634,0.4654411446440963,0.8935866607564197,0.7856122596591002
19,124,myc,myc,0.7158096214519141,-15.788689215977987,-0.10771038134892781,0.5033041139443716,3,-12.392637689908346,-23.633169134457905,-11.340260823567709,0.9002380574517189,0.31210490130349894,0.8736097602672558,0.7158096214519141
20,109,nr3c1,nr3c1,0.724693307316048,-16.58474848005507,-0.07247578104337056,0.4898635943730672,3,-12.392754783233007,-25.987140615781147,-11.374350041151047,0.882942469261177,0.38479483298543865,0.8535928990531522,0.724693307316048
21,324,stat5a,stat5a,0.6639988025360354,-19.45603193839391,-0.0933738462626934,0.43881621956825256,3,-14.246275345484415,-32.72336530685425,-11.398455162843069,0.8205595054358417,0.3416815602392254,0.777568440966437,0.6639988025360354
22,35,il2,il2,0.7846068310570434,-15.078105939759148,-0.04078691452741623,0.5507591764132181,3,-12.05818341175715,-21.776732047398884,-11.399402360121409,0.9156765508845107,0.4501698201329307,0.944284215544533,0.7846068310570434
23,15,ccl2,ccl2,0.8207291220640116,-15.560151868396336,0.001164342276751995,0.5828719437122345,3,-11.253719886144003,-24.000227292378742,-11.42650842666626,0.9052033760257242,0.5367163955054782,0.992109510006928,0.8207291220640116
24,41,cd14,cd14,0.7774763421677461,-20.631197932693695,0.042530989895264305,0.5273993213971456,3,-16.848887006441753,-33.595052560170494,-11.449654231468836,0.7950272517329695,0.6220569063449407,0.9094945652369202,0.7774763421677461
